price_in_rs,os,display_in_inch,rating,no_of_ratings,no_of_reviews,laptop,processor_manufacturer,processor_generation,number_of_cores,ram_in_gb,storage_type,primary_storage_size
68990,64 bit windows 11 operating system,14.0,4.4,288.0,23.0,hp,intel,11,11,16,ssd,512.0
177990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,amd,1,1,16,ssd,1000.0
62490,64 bit windows 11 operating system,15.6,4.1,87.0,11.0,lenovo,intel,12,12,16,ssd,512.0
109990,mac os operating system,13.3,4.6,1149.0,126.0,apple,apple,1,1,8,ssd,512.0
61990,64 bit windows 11 operating system,15.6,4.6,82.0,13.0,samsung,intel,12,12,8,ssd,256.0
60990,64 bit windows 11 operating system,15.6,4.1,31.0,2.0,dell,intel,11,11,8,hdd ssd,1000.0
70990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,asus,amd,1,1,8,ssd,512.0
110000,64 bit windows 11 operating system,16.1,3.8,5.0,1.0,hp,amd,1,1,16,ssd,1000.0
76990,64 bit windows 10 operating system,15.6,4.5,193.0,18.0,asus,amd,1,1,8,ssd,512.0
33990,64 bit windows 11 operating system,15.6,4.2,197.0,43.0,infinix,intel,11,11,8,ssd,512.0
299999,64 bit windows 11 operating system,17.3,-1.0,-1.0,-1.0,hp,intel,12,12,32,ssd,2000.0
109990,mac os operating system,13.3,4.7,8865.0,795.0,apple,apple,1,1,8,ssd,512.0
129990,64 bit windows 10 operating system,15.6,4.4,193.0,39.0,asus,amd,1,1,16,ssd,1000.0
51532,windows 11 operating system,15.6,4.0,32.0,14.0,infinix,intel,12,12,16,ssd,512.0
144100,64 bit windows 10 operating system,15.6,4.4,136.0,23.0,msi,intel,11,11,16,ssd,1000.0
63500,64 bit windows 11 operating system,14.0,-1.0,-1.0,-1.0,hp,intel,12,12,8,ssd,512.0
20990,64 bit windows 11 operating system,14.0,4.2,884.0,151.0,infinix,intel,1,1,4,ssd,128.0
124990,windows 11 operating system,14.5,-1.0,-1.0,-1.0,asus,intel,12,12,16,ssd,512.0
72990,64 bit windows 11 operating system,15.6,-1.0,-1.0,-1.0,gigabyte,intel,12,12,8,ssd,512.0
189990,64 bit windows 11 operating system,16.0,-1.0,-1.0,-1.0,lenovo,amd,1,1,32,ssd,1000.0
65999,64 bit windows 11 operating system,15.6,4.6,13.0,1.0,acer,intel,11,11,8,ssd,512.0
28500,64 bit windows 11 operating system,14.1,-1.0,-1.0,-1.0,asus,intel,1,1,8,ssd,256.0
129990,64 bit windows 10 operating system,15.6,4.6,113.0,27.0,msi,intel,11,11,16,ssd,1000.0
19990,dos operating system,15.6,3.7,288.0,26.0,lenovo,intel,1,1,4,hdd ssd,256.0
67990,64 bit windows 11 operating system,15.6,4.3,496.0,41.0,hp,intel,12,12,8,ssd,512.0
64590,64 bit windows 10 operating system,17.3,4.5,533.0,93.0,asus,amd,1,1,8,ssd,512.0
115300,64 bit windows 10 operating system,15.6,4.4,497.0,69.0,acer,amd,1,1,16,hdd ssd,1000.0
61990,64 bit windows 11 operating system,15.6,4.3,3065.0,354.0,acer,intel,12,12,16,ssd,512.0
26490,64 bit windows 11 operating system,14.0,4.2,19.0,2.0,acer,intel,1,1,4,ssd,256.0
